country,director,genre,title,year
"Испания, Франция",Пако Пласа,фильм ужасов,Бабушка,2021
Протекторат Богемии и Моравии,Франтишек Чап,драма,Бабушка,1940
СССР,Нана Двалишвили,Музыкальный фильм,Бабушка для всех,1987
США,Пол Вайц,комедия-драма,Бабушка,2015
"Россия, Франция, 1",Лидия Боброва,драма,Бабуся,2003
Гонконг,Цуй Харк,"боевик, фильм ужасов, мистика",Бабочки-убийцы,1979
США,Милтон Кацелас,"комедия, драма",Бабочки свободны,1972
Аргентина,"Марко Бергер, 1, 2","драматический фильм, ЛГБТ-фильм",Бабочка,2015
"Канада, Ирландия",Зересенай Мехари,драматический фильм,Бабочки в животе,2019
Гонконг,Май Ваньсинь,драма,Бабочка,2004
Россия,Алексей Сахаров,"мелодрама, комедия",Барышня-крестьянка,1995
"СССР, Польша",Андрей Малюков,"детектив, драма, мелодрама, триллер",Бабочки,1991
Российская империя,"Ольга Преображенская, Владимир Гардин",драма,Барышня-крестьянка,1916
Польша,"Михал Вашиньский, Ян Новина-Пшибыльский",комедия,Барышня из спецвагона,1935
РСФСР,"Евгений Славинский, Владимир Маяковский",драма,Барышня и хулиган,1918
Польша,Мария Каневская,Приключения,Барышня в окошке,1964
СССР,Аполлинарий Дудко,телевизионный балет,Барышня и хулиган,1970
Чехословакия,Иво Томан,"преступление, драма",Барышни придут позже,1966
США,Дэвид Гриффит,"драматический фильм, немое кино",Барышня и мышка,1913
"СССР, Швейцария",Владимир Павлович,"драма, военный фильм",Бархатный сезон,1978
"Польша, Франция",Анджей Вайда,драма,Барышни из Вилько,1979
Италия,Кастеллано и Пиполо,"комедийный фильм, 1",Бархатные ручки,1979
Великобритания,Айлинг Уолш,"драма, мелодрама",Бархатные пальчики,27 марта 2005
СССР,Санжар Бабаев,"психологическая драма, роуд-муви, экранизация",Бархан,1989
США,Братья Коэн,"сюрреалистическая, чёрная комедия",Бартон Финк,1991
Россия,Валерий Лонской,"криминальная, комедия",Барханов и его телохранитель,1996
США,Дэн Гилрой,"фильм ужасов, сатира",Бархатная бензопила,2019
"Великобритания, США",Тодд Хейнс,"драма, музыкальный фильм",Бархатная золотая жила,1998
Великобритания,Джеффри Сакс,"мелодрама, эротика",Бархатные ножки,9 октября 2002 1
США,"Нил Лабут, 2","драматический фильм, романтический фильм",Бархатное утро,21 апреля 2013 1
Польша,Эдвард Пухальский,драма,Бартек-Победитель,1923
США,Брайан Хекер,комедия,Барт снял номер в гостинице,2008
США,"Гарри Кервин , Вейн Кроуфорд","фильм ужасов, триллер",Барракуда,1978
США,Уайт Стиллмэн,комедия,Барселона,1994
США,Викрам Ганди,"биографический фильм, драматический фильм",Барри,16 декабря 2016
Франция,Филипп Аим,"комедия, триллер, драма",Барракуда,1997
"Великобритания, США",Стэнли Кубрик,драма,Барри Линдон,1975
США,Сидни Франклин,"биографический фильм, драматический фильм, 1, 2, романтический фильм, 1",Барретты с Уимпоул-стрит,1934
"Мексика, Испания",Фернанда Валадес,драма,Без особых примет,2020
США,Джозеф Х. Льюис,нуар,Без ума от оружия,1950
США,Гилл Деннис,"триллер, драма",Без улик,1995
"Франция, Чехия, Германия",Жан-Даниэль Верхак,драма,Без семьи,18 декабря 2000
СССР,Генрих Габай,Приключенческий фильм,Без трёх минут ровно,1972
"Франция, Северная Македония",Николя Бенаму,"комедия, экшен",Без тормозов,2016
СССР,Радомир Василевский,"комедия, детский фильм",Без сына не приходи!,1986
США,Сондра Локк,"криминал, драма",Без тормозов,1997
"Венгрия, Германия, Великобритания",Лайош Кольтаи,драма,Без судьбы,2005
Испания,Хоакин Ористрель,комедия,Без стыда,2001
СССР,Юлий Карасик,драма,Без солнца,1987
СССР,Александр Митта,"драма, приключенческий фильм",Без страха и упрёка,1962
Республика Корея,Хи Ил Сонг,драма,Без сожаления,2006
СССР,Али Хамраев,драма,Без страха,1971
Франция,Крис Маркер,фильм-эссе,Без солнца,1983
