country,director,genre,title,year
Россия,"Глеб Алейников, Игорь Алейников","комедия, сюрреализм, авангард",Трактористы 2,1992
США,Хьюберт Корнфилд,драма,Точка давления,1962
Италия,"Камилло Мастрочинкве, 1","бадди-муви, комедийный фильм","Тото, Пеппино и распутница",1956
Россия,Юрий Мороз,драма,Точка,2006
"Бельгия, Германия, Франция",Жако Ван Дормаль,драма,Тото-герой,1991
Италия,Марио Маттоли,комедия,Тото совершает поездку по Италии,1948
Италия,"Стено, Марио Моничелли",комедия,Тото ищет квартиру,1949
Италия,"Стено, Марио Моничелли",комедия,Тото и короли Рима,1952
Италия,Камилло Мастрочинкве,Комедия,Тото в Париже,1958
Италия,Стено,комедия,Тото в цвете,1952
"Мексика, Дания, Франция",Лила Авилес,драматический фильм,Тотем,20 февраля 2023
Италия,Стено,комедия,Тото в Мадриде,1959
"Китай, Франция",Жан-Жак Анно,приключения,Тотем волка,2015
